idx,problem_name,difficulty
1,User Input / Output,Easy
2,Data Types,Easy
3,If Else statements,Easy
4,Switch Statement,Easy
5,"What are arrays/strings?",Easy
6,For loops,Easy
7,While loops,Easy
8,Functions (Pass by Reference and Value),Easy
9,"Time Complexity [Learn Basics and then analyse in next Steps]",Easy
10,Patterns,Easy
11,Count Digits,Easy
12,Reverse a Number,Easy
13,Check Palindrome,Easy
14,GCD Or HCF,Easy
15,Armstrong Numbers,Easy
16,Print all Divisors,Easy
17,Check for Prime,Easy
18,Understand recursion by print something N times,Easy
19,Print name N times using recursion,Easy
20,Print 1 to N using recursion,Easy
21,Print N to 1 using recursion,Easy
22,Sum of first N numbers,Easy
23,Factorial of N numbers,Easy
24,Reverse an array,Easy
25,Check if a string is palindrome or not,Medium
26,Fibonacci Number,Easy
27,Hashing Theory,Medium
28,Counting frequencies of array elements,Easy
29,Find the highest/lowest frequency element,Easy
30,Selection Sort,Easy
31,Bubble Sort,Easy
32,Insertion Sort,Easy
33,Merge Sort,Medium
34,Recursive Bubble Sort,Easy
35,Recursive Insertion Sort,Easy
36,Quick Sort,Easy
37,Largest Element in an Array,Easy
38,Second Largest Element in an Array without sorting,Easy
39,Check if the array is sorted,Easy
40,Remove duplicates from Sorted array,Easy
41,Left Rotate an array by one place,Easy
42,Left rotate an array by D places,Easy
43,Move Zeros to end,Easy
44,Linear Search,Easy
45,Find the Union,Medium
46,Find missing number in an array,Easy
47,Maximum Consecutive Ones,Easy
48,Find the number that appears once and other numbers twice,Medium
49,Longest subarray with given sum K(positives),Medium
50,Longest subarray with sum K (Positives + Negatives),Medium
51,2Sum Problem,Medium
52,Sort an array of 0's 1's and 2's,Medium
53,Majority Element (>n/2 times),Easy
54,Kadane's Algorithm maximum subarray sum,Easy
55,Print subarray with maximum subarray sum (extended version of above problem),Medium
56,Stock Buy and Sell,Easy
57,Rearrange the array in alternating positive and negative items,Medium
58,Next Permutation,Medium
59,Leaders in an Array problem,Easy
60,Longest Consecutive Sequence in an Array,Medium
61,Set Matrix Zeros,Medium
62,Rotate Matrix by 90 degrees,Medium
63,Print the matrix in spiral manner,Medium
64,Count subarrays with given sum,Easy
65,Pascal's Triangle,Medium
66,Majority Element (n/3 times),Medium
67,3-Sum Problem,Medium
68,4-Sum Problem,Hard
69,Largest Subarray with 0 Sum,Medium
70,Count number of subarrays with given xor K,Hard
71,Merge Overlapping Subintervals,Medium
72,Merge two sorted arrays without extra space,Medium
73,Find the repeating and missing number,Hard
74,Count Inversions,Hard
75,Reverse Pairs,Hard
76,Maximum Product Subarray,Easy
77,Binary Search to find X in sorted array,Easy
78,Implement Lower Bound,Easy
79,Implement Upper Bound,Easy
80,Search Insert Position,Easy
81,Floor/Ceil in Sorted Array,Medium
82,Find the first or last occurrence of a given number in a sorted array,Easy
83,Count occurrences of a number in a sorted array with duplicates,Easy
84,Search in Rotated Sorted Array I,Medium
85,Search in Rotated Sorted Array II,Medium
86,Find minimum in Rotated Sorted Array,Medium
87,Find out how many times has an array been rotated,Easy
88,Single element in a Sorted Array,Easy
89,Find peak element,Hard
90,Square Root of a number,Medium
91,Nth Root of a Number,Medium
92,Search element in a sorted matrix,Medium
93,Median of two sorted arrays,Hard
94,K-th element of two sorted arrays,Hard
95,Find row with maximum number of 1's,Medium
96,Search in a 2 D matrix,Medium
97,Search in a row and column wise sorted matrix,Medium
98,Find Peak Element (2D Matrix),Hard
99,Matrix Median,Hard
100,Remove outermost Paranthesis,Easy
101,Reverse words in a given string / Palindrome Check,Easy
102,Largest odd number in a string,Easy
103,Longest Common Prefix,Easy
104,Isomorphic String,Easy
105,check whether one string is a rotation of another,Medium
106,Check if two strings are anagram of each other,Medium
107,Sort Characters by frequency,Easy
108,Maximum Nesting Depth of Paranthesis,Easy
109,Roman Number to Integer and vice versa,Easy
110,Implement Atoi,Medium
111,Count Number of Substrings,Medium
112,Longest Palindromic Substring[Do it without DP],Hard
113,Sum of Beauty of all substring,Medium
114,Reverse Every Word in A String,Easy
115,Introduction to LinkedList learn about struct and how is node represented,Easy
116,Inserting a node in LinkedList,Easy
117,Deleting a node in LinkedList,Medium
118,Find the length of the linkedlist [learn traversal],Easy
119,Search an element in the LL,Easy
